********* CUBIC FUNCTIONS ***********
Solutions: 2.000000 6.000000 2.500000
Solutions: 2.500000
Solutions: 1.635838
Solutions: 13.811084
Solutions: -9.460302 0.152671 -0.692369
Solutions: -9.448407 0.260617 -0.812210
Solutions: -9.436449 0.348553 -0.912103
Solutions: -9.424429 0.424429 -1.000000
Solutions: -9.412344 0.492017 -1.079673
Solutions: -9.400195 0.553459 -1.153264
Solutions: -9.387980 0.610110 -1.222131
Solutions: -9.375698 0.662891 -1.287194
Solutions: -9.363348 0.712463 -1.349115
Solutions: -9.350930 0.759317 -1.408387
Solutions: -9.403823 0.143722 -0.739899
Solutions: -9.391702 0.248536 -0.856834
Solutions: -9.379515 0.334813 -0.955298
Solutions: -9.367262 0.409653 -1.042391
Solutions: -9.354942 0.476534 -1.121592
Solutions: -9.342554 0.537465 -1.194911
Solutions: -9.330097 0.593732 -1.263635
Solutions: -9.317570 0.646216 -1.328647
Solutions: -9.304971 0.695554 -1.390583
Solutions: -9.292300 0.742220 -1.449920
Solutions: -9.346609 0.135604 -0.788995
Solutions: -9.334251 0.237275 -0.903023
Solutions: -9.321825 0.321825 -1.000000
Solutions: -9.309330 0.395565 -1.086235
Solutions: -9.296764 0.461682 -1.164918
Solutions: -9.284126 0.522054 -1.237927
Solutions: -9.271416 0.577895 -1.306480
Solutions: -9.258631 0.630048 -1.371417
Solutions: -9.245772 0.679121 -1.433349
Solutions: -9.232837 0.725574 -1.492737
Solutions: -9.288629 0.128226 -0.839597
Solutions: -9.276025 0.226778 -0.950753
Solutions: -9.263349 0.309554 -1.046205
Solutions: -9.250599 0.382138 -1.131539
Solutions: -9.237776 0.447442 -1.209666
Solutions: -9.224877 0.507212 -1.282335
Solutions: -9.211901 0.562591 -1.350690
Solutions: -9.198848 0.614380 -1.415532
Solutions: -9.185716 0.663160 -1.477444
Solutions: -9.172503 0.709374 -1.536870
Solutions: -9.229853 0.121509 -0.891656
Solutions: -9.216991 0.216991 -1.000000
Solutions: -9.204052 0.297962 -1.093910
Solutions: -9.191037 0.369348 -1.178311
Solutions: -9.177944 0.433796 -1.255852
Solutions: -9.164771 0.492925 -1.328154
Solutions: -9.151518 0.547809 -1.396291
Solutions: -9.138182 0.599203 -1.461021
Solutions: -9.124763 0.647664 -1.522900
Solutions: -9.111260 0.693614 -1.582354
Solutions: -9.170246 0.115379 -0.945133
Solutions: -9.157113 0.207861 -1.050748
Solutions: -9.143901 0.287013 -1.143112
Solutions: -9.130607 0.357167 -1.226560
Solutions: -9.117231 0.420725 -1.303494
Solutions: -9.103771 0.479179 -1.375409
Solutions: -9.090225 0.533536 -1.443311
Solutions: -9.076593 0.584508 -1.507915
Solutions: -9.062873 0.632624 -1.569751
Solutions: -9.049063 0.678289 -1.629226
Solutions: -9.109772 0.109772 -1.000000
Solutions: -9.096356 0.199340 -1.102984
Solutions: -9.082855 0.276670 -1.193815
Solutions: -9.069269 0.345569 -1.276300
Solutions: -9.055596 0.408207 -1.352611
Solutions: -9.041833 0.465958 -1.424125
Solutions: -9.027981 0.519760 -1.491779
Solutions: -9.014037 0.570285 -1.556248
Solutions: -9.000000 0.618034 -1.618034
Solutions: -8.985868 0.663393 -1.677525
Solutions: -9.048393 0.104632 -1.056240
Solutions: -9.034679 0.191380 -1.156701
Solutions: -9.020875 0.266899 -1.246023
Solutions: -9.006981 0.334527 -1.327546
Solutions: -8.992995 0.396221 -1.403226
Solutions: -8.978915 0.453245 -1.474329
Solutions: -8.964740 0.506468 -1.541729
Solutions: -8.950467 0.556524 -1.606056
Solutions: -8.936096 0.603884 -1.667789
Solutions: -8.921623 0.648918 -1.727295
Solutions: -8.986065 0.099909 -1.113844
Solutions: -8.972038 0.183938 -1.211900
Solutions: -8.957916 0.257665 -1.299749
Solutions: -8.943698 0.324014 -1.380316
Solutions: -8.929383 0.384748 -1.455365
Solutions: -8.914968 0.441023 -1.526055
Solutions: -8.900452 0.493647 -1.593196
Solutions: -8.885832 0.543212 -1.657380
Solutions: -8.871107 0.590166 -1.719059
Solutions: -8.856275 0.634856 -1.778581
Solutions: -8.922745 0.095559 -1.172814
Solutions: -8.908387 0.176974 -1.268587
Solutions: -8.893930 0.248935 -1.355005
Solutions: -8.879371 0.314005 -1.434634
Solutions: -8.864708 0.373766 -1.509058
Solutions: -8.849939 0.429276 -1.579337
Solutions: -8.835062 0.481283 -1.646221
Solutions: -8.820076 0.530340 -1.710264
Solutions: -8.804977 0.576869 -1.771892
Solutions: -8.789764 0.621200 -1.831435
Solutions: -8.858382 0.091543 -1.233161
Solutions: -8.843677 0.170451 -1.326775
Solutions: -8.828865 0.240679 -1.411815
Solutions: -8.813945 0.304473 -1.490529
Solutions: -8.798914 0.363254 -1.564340
Solutions: -8.783771 0.417985 -1.634215
Solutions: -8.768513 0.469361 -1.700848
Solutions: -8.753138 0.517895 -1.764757
Solutions: -8.737643 0.563984 -1.826341
Solutions: -8.722026 0.607940 -1.885914
Solutions: -8.792924 0.087827 -1.294903
Solutions: -8.777850 0.164334 -1.386483
Solutions: -8.762664 0.232867 -1.470203
Solutions: -8.747362 0.295395 -1.548033
Solutions: -8.731942 0.353191 -1.621249
